datetime,chc,lpz,scz
2024-10-18 14:50,0.07614723,-0.05,nan
2024-10-18 15:50,nan,-0.05,nan
2024-10-18 15:50,nan,-0.05,nan
2024-10-18 16:50,nan,-0.05,nan
2024-10-18 16:50,nan,-0.05,nan
2024-10-18 17:50,nan,nan,nan
2024-10-18 17:50,nan,nan,nan
2024-10-18 18:50,nan,nan,nan
2024-10-18 18:50,nan,nan,nan
2024-10-18 19:50,nan,nan,nan
2024-10-18 19:50,nan,nan,nan
2024-10-18 20:50,nan,nan,nan
2024-10-18 20:50,nan,nan,nan
2024-10-19 10:50,nan,nan,nan
2024-10-19 10:50,nan,nan,nan
2024-10-19 11:50,0.041007858,0.01696514,nan
2024-10-19 12:50,0.042626124,-0.01717244,nan
2024-10-19 12:50,0.042626124,-0.01717244,nan
2024-10-19 13:50,nan,-0.05,nan
2024-10-19 13:50,nan,-0.05,nan
2024-10-19 14:50,nan,-0.05,-0.05
2024-10-19 14:50,nan,-0.05,-0.05
2024-10-19 15:50,nan,-0.05,-0.05
2024-10-19 15:50,nan,-0.05,-0.05
2024-10-19 16:50,0.17794348,-0.05,nan
2024-10-19 16:50,0.17794348,-0.05,nan
2024-10-19 17:50,0.045246158,nan,nan
2024-10-19 17:50,0.045246158,nan,nan
2024-10-19 18:50,nan,nan,nan
2024-10-19 18:50,nan,nan,nan
2024-10-19 19:50,0.012572724,nan,0.0013219602
2024-10-19 19:50,0.012572724,nan,0.0013219602
2024-10-19 20:50,nan,-0.05,0.014653344
2024-10-19 20:50,nan,-0.05,0.014653344
2024-10-20 10:50,nan,nan,0.06589824
2024-10-20 10:50,nan,nan,0.06589824
2024-10-20 11:50,0.030912999,nan,0.03230008
2024-10-20 12:50,0.022205222,-0.05,-0.05
2024-10-20 12:50,0.022205222,-0.05,-0.05
2024-10-20 13:50,0.03230008,-0.05,-0.05
2024-10-20 13:50,0.03230008,-0.05,-0.05
2024-10-20 14:50,nan,-0.05,nan
2024-10-20 14:50,nan,-0.05,nan
2024-10-20 15:50,nan,-0.05,nan
2024-10-20 15:50,nan,-0.05,nan
2024-10-20 16:50,nan,-0.05,nan
2024-10-20 16:50,nan,-0.05,nan
2024-10-20 17:50,nan,-0.05,nan
2024-10-20 17:50,nan,-0.05,nan
2024-10-20 18:50,nan,-0.05,nan
2024-10-20 18:50,nan,-0.05,nan
2024-10-20 19:50,nan,nan,0.051410962
2024-10-20 19:50,nan,nan,0.051410962
2024-10-20 20:50,nan,nan,0.10882066
2024-10-20 20:50,nan,nan,0.10882066
2024-10-21 10:50,nan,nan,nan
2024-10-21 10:50,nan,nan,nan
2024-10-21 11:50,0.04200964,nan,nan
2024-10-21 12:50,0.028370019,-0.04722584,0.37097877
2024-10-21 12:50,0.028370019,-0.04722584,0.37097877
2024-10-21 13:50,0.0305277,-0.05,nan
2024-10-21 13:50,0.0305277,-0.05,nan
2024-10-21 14:50,0.0336101,-0.05,nan
2024-10-21 14:50,0.0336101,-0.05,nan
2024-10-21 15:50,nan,-0.05,nan
2024-10-21 15:50,nan,-0.05,nan
2024-10-21 16:50,nan,-0.05,nan
2024-10-21 16:50,nan,-0.05,nan
2024-10-21 17:50,0.06497352,nan,nan
2024-10-21 17:50,0.06497352,nan,nan
2024-10-21 18:50,nan,nan,nan
2024-10-21 18:50,nan,nan,nan
2024-10-21 19:50,nan,-0.05,0.016811024
2024-10-21 19:50,nan,-0.05,0.016811024
2024-10-21 20:50,nan,-0.05,0.12438679
2024-10-21 20:50,nan,-0.05,0.12438679
2024-10-22 10:50,nan,nan,nan
2024-10-22 10:50,nan,nan,nan
2024-10-22 11:50,nan,nan,nan
2024-10-22 12:50,nan,0.054493364,1.0158939
2024-10-22 12:50,nan,0.054493364,1.0158939
2024-10-22 13:50,nan,0.08454676,nan
2024-10-22 13:50,nan,0.08454676,nan
2024-10-22 14:50,nan,nan,nan
2024-10-22 14:50,nan,nan,nan
2024-10-22 15:50,nan,nan,nan
2024-10-22 15:50,nan,nan,nan
2024-10-22 16:50,nan,nan,nan
2024-10-22 16:50,nan,nan,nan
2024-10-22 17:50,nan,nan,nan
2024-10-22 17:50,nan,nan,nan
2024-10-22 18:50,nan,nan,nan
2024-10-22 18:50,nan,nan,nan
2024-10-22 19:50,nan,nan,nan
2024-10-22 19:50,nan,nan,nan
2024-10-22 20:50,nan,nan,0.8327994
2024-10-22 20:50,nan,nan,0.8327994
2024-10-23 10:50,nan,nan,nan
2024-10-23 10:50,nan,nan,nan
2024-10-23 11:50,nan,nan,nan
2024-10-23 12:50,nan,nan,nan
2024-10-23 12:50,nan,nan,nan
2024-10-23 13:50,nan,0.016271602,nan
2024-10-23 13:50,nan,0.016271602,nan
2024-10-23 14:50,nan,0.03353304,nan
2024-10-23 14:50,nan,0.03353304,nan
2024-10-23 15:50,nan,0.17994705,nan
2024-10-23 15:50,nan,0.17994705,nan
2024-10-23 16:50,nan,nan,nan
2024-10-23 16:50,nan,nan,nan
2024-10-23 17:50,nan,nan,nan
2024-10-23 17:50,nan,nan,nan
2024-10-23 18:50,nan,0.11984025,nan
2024-10-23 18:50,nan,0.11984025,nan
2024-10-23 19:50,nan,nan,nan
2024-10-23 19:50,nan,nan,nan
2024-10-23 20:50,nan,nan,0.27604085
2024-10-23 20:50,nan,nan,0.27604085
2024-10-24 10:50,nan,nan,nan
2024-10-24 10:50,nan,nan,nan
2024-10-24 11:50,nan,nan,nan
2024-10-24 12:50,nan,nan,nan
2024-10-24 12:50,nan,nan,nan
2024-10-24 13:50,nan,-0.05,nan
2024-10-24 13:50,nan,-0.05,nan
2024-10-24 14:50,nan,-0.05,nan
2024-10-24 14:50,nan,-0.05,nan
2024-10-24 15:50,nan,-0.05,nan
2024-10-24 15:50,nan,-0.05,nan
2024-10-24 16:50,nan,-0.05,nan
2024-10-24 16:50,nan,-0.05,nan
2024-10-24 17:50,nan,-0.05,nan
2024-10-24 17:50,nan,-0.05,nan
2024-10-24 18:50,nan,nan,nan
2024-10-24 18:50,nan,nan,nan
2024-10-24 19:50,nan,nan,0.59252626
2024-10-24 19:50,nan,nan,0.59252626
2024-10-24 20:50,nan,nan,0.5398172
2024-10-24 20:50,nan,nan,0.5398172
2024-10-25 12:50,nan,0.1780976,nan
2024-10-25 12:50,nan,0.1780976,nan
2024-10-25 13:50,0.20776571,nan,nan
2024-10-25 13:50,0.20776571,nan,nan
2024-10-25 14:50,0.12577386,0.012649778,nan
2024-10-25 14:50,0.12577386,0.012649778,nan
2024-10-25 15:50,nan,0.15528785,nan
2024-10-25 15:50,nan,0.15528785,nan
2024-10-25 16:50,nan,nan,nan
2024-10-25 16:50,nan,nan,nan
2024-10-25 17:50,nan,nan,nan
2024-10-25 17:50,nan,nan,nan
2024-10-25 18:50,nan,nan,nan
2024-10-25 18:50,nan,nan,nan
2024-10-25 19:50,nan,nan,nan
2024-10-25 19:50,nan,nan,nan
2024-10-25 20:50,nan,nan,0.3668946
2024-10-25 20:50,nan,nan,0.3668946
2024-10-26 10:50,nan,nan,nan
2024-10-26 10:50,nan,nan,nan
2024-10-26 11:50,nan,nan,nan
2024-10-26 12:50,nan,nan,nan
2024-10-26 12:50,nan,nan,nan
2024-10-26 13:50,nan,nan,nan
2024-10-26 13:50,nan,nan,nan
2024-10-26 14:50,nan,nan,nan
2024-10-26 14:50,nan,nan,nan
2024-10-26 15:50,nan,nan,nan
2024-10-26 15:50,nan,nan,nan
2024-10-26 16:50,nan,nan,nan
